,contract_address,contract_url,contract_name,nifty_name,store_url,nifty_date_created,num_pm_sales,num_sm_sales,avg_resale_price,highest_active_bid,lowest_active_ask,sm_market_volume,price
1168,0xf9703fbceda236abe22a8aae2cc425dae5e6e5a4,https://niftygateway.com/itemdetail/primary/0xf9703fbceda236abe22a8aae2cc425dae5e6e5a4/1,Crypto Sculpture 6,Crypto Sculpture 6,https://niftygateway.com/collections/cryptosculptures,2021-02-20T22:20:56.034764Z,3,1,1000000,0,0,120000,
1169,0x8200e6a1ac4a480fa8f31c5ed9d8d34afc26fc66,https://niftygateway.com/itemdetail/primary/0x8200e6a1ac4a480fa8f31c5ed9d8d34afc26fc66/1,DISTANCE//,DISTANCE//,https://niftygateway.com/collections/fvckrenderverse,2021-02-02T17:26:09.921784Z,9,1,700000,0,0,3336146,380000000.0
1170,0x23bfcd22c5e9de83044dcc1bd9542b5712fac84e,https://niftygateway.com/itemdetail/primary/0x23bfcd22c5e9de83044dcc1bd9542b5712fac84e/1,Bonsai,Bonsai,https://niftygateway.com/collections/goldweardzen,2020-10-14T00:14:10.325841Z,1,1,600000,0,0,220000,
1171,0x374e4a05e665f25b6c996ec2eeae05c792359821,https://niftygateway.com/itemdetail/primary/0x374e4a05e665f25b6c996ec2eeae05c792359821/1,Butter,Butter,https://niftygateway.com/collections/jonburgermangummieauct,2021-03-02T21:18:51.357187Z,25,1,219900,80000,0,250000,
1172,0xadbc47339972f050443953d558f30a713b6e9e7a,https://niftygateway.com/itemdetail/primary/0xadbc47339972f050443953d558f30a713b6e9e7a/1,Left Behind,Left Behind,https://niftygateway.com/collections/aeforiafivefears,2021-02-23T05:12:25.874267Z,5,1,1300000,800000,0,3861169,19000000.0
1173,0x374e4a05e665f25b6c996ec2eeae05c792359821,https://niftygateway.com/itemdetail/primary/0x374e4a05e665f25b6c996ec2eeae05c792359821/1,Fuzzy,Fuzzy,https://niftygateway.com/collections/jonburgermangummieauct,2021-03-02T21:18:51.358497Z,25,1,249900,0,0,5000000,
1174,0x4391e3387176ea51488cd9a7e9ddf8ea42cc343b,https://niftygateway.com/itemdetail/primary/0x4391e3387176ea51488cd9a7e9ddf8ea42cc343b/1,Dead Heads - Crypt0baby x Daira ,Dead Heads - Crypt0baby x Daira ,https://niftygateway.com/collections/cryptoargcollabs,2020-12-29T19:01:03.204865Z,1,1,150000,0,0,177700,210000.0
1175,0xa81e0193f30bbd6e83366a88b4570e8766ca2131,https://niftygateway.com/itemdetail/primary/0xa81e0193f30bbd6e83366a88b4570e8766ca2131/1,Warren Buffett – Decentral Eyes – Variant 03,Warren Buffett – Decentral Eyes – Variant 03,https://niftygateway.com/collections/coldie2,2020-09-23T23:07:26.415836Z,1,1,437500,0,0,350000,
1176,0xf2a22a760026b1978118d7e256b4420cc531e87b,https://niftygateway.com/itemdetail/primary/0xf2a22a760026b1978118d7e256b4420cc531e87b/1,Enter the Void,Enter the Void,https://niftygateway.com/collections/lansking2,2020-09-29T22:34:17.570685Z,3,1,150000,50000,0,75000,
1177,0x6b1a68af1cbeca7d4abf27f1c606459548ae239f,https://niftygateway.com/itemdetail/primary/0x6b1a68af1cbeca7d4abf27f1c606459548ae239f/1,Air Jordan 1 - Travis Scott,Air Jordan 1 - Travis Scott,https://niftygateway.com/collections/yoo,2020-05-07T19:28:23.360571Z,2,1,250000,250000,0,200000,499900.0
1178,0xddc711f9e9152a1d8d4a38ee2903ac8ce912ca3f,https://niftygateway.com/itemdetail/primary/0xddc711f9e9152a1d8d4a38ee2903ac8ce912ca3f/1,La marea by theinternetoffice,La marea by theinternetoffice,https://niftygateway.com/collections/cryptoarg,2020-09-21T18:21:45.108312Z,4,1,21500,0,0,80000,
